AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
27.572,0.958,Acapulco,1859,8,1
26.208,1.012,Acapulco,1859,9,1
26.387,1.102,Acapulco,1859,10,1
26.273,1.762,Acapulco,1859,11,1
24.142,1.459,Acapulco,1859,12,1
24.223,1.364,Acapulco,1860,1,1
23.344,1.347,Acapulco,1860,2,1
22.541,1.928,Acapulco,1860,3,1
24.214,1.449,Acapulco,1860,4,1
25.668,2.287,Acapulco,1860,5,1
28.006,1.068,Acapulco,1860,6,1
27.417,1.113,Acapulco,1860,7,1
26.739,1.078,Acapulco,1860,8,1
26.345,0.967,Acapulco,1860,9,1
26.271,0.985,Acapulco,1860,10,1
26.136,1.688,Acapulco,1860,11,1
24.583,1.492,Acapulco,1860,12,1
23.84,1.871,Acapulco,1861,1,1
23.01,1.615,Acapulco,1861,2,1
23.597,1.46,Acapulco,1861,3,1
24.421,1.518,Acapulco,1861,4,1
25.655,1.718,Acapulco,1861,5,1
27.807,1.34,Acapulco,1861,6,1
27.874,1.256,Acapulco,1861,7,1
27.198,1.426,Acapulco,1861,8,1
26.75,1.538,Acapulco,1861,9,1
26.148,1.387,Acapulco,1861,10,1
27.405,1.79,Acapulco,1861,11,1
26.103,1.936,Acapulco,1861,12,1
25.097,1.756,Acapulco,1862,1,1
23.567,1.823,Acapulco,1862,2,1
23.764,1.584,Acapulco,1862,3,1
24.697,1.414,Acapulco,1862,4,1
26.154,1.536,Acapulco,1862,5,1
27.323,1.384,Acapulco,1862,6,1
27.679,1.281,Acapulco,1862,7,1
27.275,1.326,Acapulco,1862,8,1
26.346,1.337,Acapulco,1862,9,1
25.773,1.597,Acapulco,1862,10,1
25.744,1.441,Acapulco,1862,11,1
24.227,1.65,Acapulco,1862,12,1
24.77,1.935,Acapulco,1863,1,1
24.601,2.3,Acapulco,1863,2,1
24.913,1.336,Acapulco,1863,3,1
24.837,1.563,Acapulco,1863,4,1
25.546,1.845,Acapulco,1863,5,1
27.429,1.402,Acapulco,1863,6,1
27.347,1.19,Acapulco,1863,7,1
26.991,1.226,Acapulco,1863,8,1
26.7,1.421,Acapulco,1863,9,1
26.248,1.086,Acapulco,1863,10,1
25.919,1.41,Acapulco,1863,11,1
24.583,1.426,Acapulco,1863,12,1
23.869,1.676,Acapulco,1864,1,1
23.841,1.692,Acapulco,1864,2,1
23.221,1.69,Acapulco,1864,3,1
24.228,1.443,Acapulco,1864,4,1
25.601,1.42,Acapulco,1864,5,1
27.548,1.585,Acapulco,1864,6,1
27.371,1.459,Acapulco,1864,7,1
26.907,1.378,Acapulco,1864,8,1
27.014,1.376,Acapulco,1864,9,1
26.016,1.281,Acapulco,1864,10,1
25.853,1.564,Acapulco,1864,11,1
25.586,1.766,Acapulco,1864,12,1
25.133,1.599,Acapulco,1865,1,1
23.92,1.697,Acapulco,1865,2,1
23.568,1.514,Acapulco,1865,3,1
24.216,1.444,Acapulco,1865,4,1
25.914,1.44,Acapulco,1865,5,1
27.506,1.305,Acapulco,1865,6,1
27.489,1.299,Acapulco,1865,7,1
27.446,1.291,Acapulco,1865,8,1
26.484,1.344,Acapulco,1865,9,1
26.285,1.313,Acapulco,1865,10,1
26.494,1.612,Acapulco,1865,11,1
26.003,2.108,Acapulco,1865,12,1
25.619,1.749,Acapulco,1866,1,1
23.616,1.766,Acapulco,1866,2,1
24.46,1.459,Acapulco,1866,3,1
24.32,1.413,Acapulco,1866,4,1
26.004,1.387,Acapulco,1866,5,1
26.76,1.363,Acapulco,1866,6,1
27.343,1.227,Acapulco,1866,7,1
27.239,1.282,Acapulco,1866,8,1
27.155,1.098,Acapulco,1866,9,1
